,book_id,book_authors,book_title,language_code,genres,image_url,rating,book_rating_count,book_review_count,Price
0,2,j.k. rowling|mary grandpré,harry potter and the order of the phoenix,eng,fantasy,https://images.gr-assets.com/books/1255614970l/2.jpg,3.7,2041594.0,33264.0,55.0
1,4,jane austen|anna quindlen|mrs. oliphant|george saintsbury|mark twain|a.c. bradley|walter a. raleigh|virginia woolf,pride and prejudice,eng,classics,https://images.gr-assets.com/books/1320399351l/1885.jpg,4.18,2453620.0,54322.0,41.0
2,5,stephenie meyer,twilight,eng,young adult,https://images.gr-assets.com/books/1361039443l/41865.jpg,3.9,4281268.0,97991.0,62.0
3,7,c.s. lewis|pauline baynes,the chronicles of narnia,en-us,fantasy,https://images.gr-assets.com/books/1449868701l/11127.jpg,3.86,437829.0,9439.0,72.0
4,8,george orwell,animal farm,eng,classics,https://images.gr-assets.com/books/1424037542l/7613.jpg,4.18,2235084.0,42156.0,28.0
5,9,margaret mitchell,gone with the wind,en-ca,classics,https://images.gr-assets.com/books/1328025229l/18405.jpg,2.87,969181.0,17452.0,73.0
6,10,j.r.r. tolkien,j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings,eng,fantasy,https://images.gr-assets.com/books/1346072396l/30.jpg,3.97,99793.0,1652.0,24.0
7,11,john green,the fault in our stars,eng,young adult,https://images.gr-assets.com/books/1360206420l/11870085.jpg,4.06,2881648.0,147270.0,25.0
8,13,shel silverstein,the giving tree,eng,childrens,https://images.gr-assets.com/books/1174210942l/370493.jpg,4.08,789681.0,15694.0,51.0
9,14,emily brontë|richard j. dunn|david timson|charlotte brontë|ruth golding|robert heindel,wuthering heights,eng,classics,https://images.gr-assets.com/books/1388212715l/6185.jpg,3.65,1121100.0,29400.0,66.0
10,15,dan brown,the da vinci code,eng,fiction,https://images.gr-assets.com/books/1303252999l/968.jpg,3.83,1668594.0,43699.0,79.0
11,18,oscar wilde|jeffrey eugenides,the picture of dorian gray,eng,fiction,https://images.gr-assets.com/books/1424596966l/5297.jpg,4.13,775701.0,22938.0,41.0
12,19,victor hugo|lee fahnestock|norman macafee,les misérables,eng,classics,https://images.gr-assets.com/books/1525303092l/24280.jpg,4.62,591874.0,13063.0,55.0
13,21,charlotte brontë|michael mason,jane eyre,eng,classics,https://images.gr-assets.com/books/1327867269l/10210.jpg,3.82,1381404.0,34670.0,76.0
14,22,william shakespeare|barbara a. mowat|paul werstine,romeo and juliet,eng,classics,https://images.gr-assets.com/books/1327872146l/18135.jpg,3.12,1818262.0,16442.0,51.0
15,23,william golding,lord of the flies,eng,classics,https://images.gr-assets.com/books/1327869409l/7624.jpg,3.64,1840595.0,30634.0,68.0
16,24,paulo coelho|alan r. clarke|özdemir i̇nce,the alchemist,eng,fiction,https://images.gr-assets.com/books/1483412266l/865.jpg,4.03,1644387.0,63861.0,15.0
17,25,fyodor dostoyevsky|david mcduff,crime and punishment,eng,classics,https://images.gr-assets.com/books/1382846449l/7144.jpg,4.5,507522.0,14496.0,53.0
18,26,orson scott card,ender's game,eng,science fiction,https://images.gr-assets.com/books/1408303130l/375802.jpg,2.96,965351.0,40289.0,37.0
19,27,stephen chbosky,the perks of being a wallflower,eng,young adult,https://images.gr-assets.com/books/1520093244l/22628.jpg,4.19,1063711.0,50846.0,30.0
20,28,cassandra clare|franca fritz|heinrich koop|franka fritz,city of bones,eng,fantasy,https://images.gr-assets.com/books/1432730315l/256683.jpg,3.89,1383479.0,55446.0,23.0
21,29,kathryn stockett,the help,eng,fiction,https://images.gr-assets.com/books/1346100365l/4667024.jpg,3.75,1790905.0,80741.0,58.0
22,32,e.b. white|garth williams|rosemary wells,charlotte's web,eng,classics,https://images.gr-assets.com/books/1439632243l/24178.jpg,3.93,1199733.0,14938.0,40.0
23,33,l.m. montgomery,anne of green gables,eng,classics,https://images.gr-assets.com/books/1390789015l/8127.jpg,3.72,599365.0,16797.0,39.0
24,35,bram stoker|nina auerbach|david j. skal,dracula,eng,classics,https://images.gr-assets.com/books/1387151694l/17245.jpg,3.4,775448.0,19726.0,20.0
25,36,aldous huxley,brave new world,eng,classics,https://images.gr-assets.com/books/1523061131l/5129.jpg,4.0,1203529.0,23422.0,62.0
26,37,gabriel garcía márquez|gregory rabassa,one hundred years of solitude,eng,fiction,https://images.gr-assets.com/books/1327881361l/320.jpg,4.0,630758.0,24375.0,43.0
27,38,antoine de saint-exupéry|richard howard|dom marcos barbosa|melina karakosta,the little prince,eng,classics,https://images.gr-assets.com/books/1367545443l/157993.jpg,4.18,1022243.0,29424.0,43.0
28,39,william goldman,the princess bride,eng,fantasy,https://images.gr-assets.com/books/1327903636l/21787.jpg,4.25,685278.0,17221.0,25.0
29,40,frances hodgson burnett,the secret garden,eng,classics,https://images.gr-assets.com/books/1327873635l/2998.jpg,3.0,763910.0,14897.0,79.0
30,42,khaled hosseini,a thousand splendid suns,en-us,fiction,https://images.gr-assets.com/books/1345958969l/128029.jpg,3.88,961180.0,47035.0,70.0
31,43,madeleine l'engle,a wrinkle in time,eng,fantasy,https://images.gr-assets.com/books/1329061522l/18131.jpg,3.62,806439.0,29701.0,72.0
32,44,ray bradbury|alfredo crespo,fahrenheit 451,eng,classics,https://images.gr-assets.com/books/1351643740l/4381.jpg,2.0,1321751.0,36934.0,41.0
33,47,mark twain|guy cardwell|john seelye,the adventures of huckleberry finn,eng,classics,https://images.gr-assets.com/books/1405973850l/2956.jpg,3.67,1060707.0,13585.0,30.0
34,48,alice sebold,the lovely bones,spa,fiction,https://images.gr-assets.com/books/1457810586l/12232938.jpg,3.9,1786839.0,38270.0,45.0
35,50,dr. seuss,green eggs and ham,eng,childrens,https://images.gr-assets.com/books/1468680100l/23772.jpg,3.75,519703.0,8147.0,38.0
36,54,s.e. hinton,the outsiders,en-us,classics,https://images.gr-assets.com/books/1442129426l/231804.jpg,4.8,765065.0,26991.0,45.0
37,55,sara gruen,water for elephants,eng,fiction,https://images.gr-assets.com/books/1494428973l/43641.jpg,3.82,1199696.0,57161.0,77.0
38,57,vladimir nabokov|craig raine,lolita,en-us,classics,https://images.gr-assets.com/books/1377756377l/7604.jpg,3.75,565155.0,20390.0,72.0
39,58,kurt vonnegut,slaughterhouse-five,eng,classics,https://images.gr-assets.com/books/1440319389l/4981.jpg,3.72,977825.0,22329.0,47.0
40,59,joseph heller,catch-22,eng,classics,https://images.gr-assets.com/books/1463157317l/168668.jpg,4.2,639139.0,15255.0,42.0
